Bundle Description,Bundle Name,ODR Offer ID,CDC Offer,ODR DA ID,CDC DA ID,ODR Bonus Offer for ADC,CDC Offerid,ODR ADC Bonus DA ID,CDC ADC Bonus DAID , ODR Terrific TT Offer ID,Terrific Thursday ODR DA ID,CDC Terrific Thursday New DA ID,CDC Terrific Thursday Offer ID
MTN Pulse GHC 10,MashUp GHC 5 (100% Data),33010054,6450054,100434,6450000,33020050,6910309,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 11,Mashup Social Offer,32110120,6610121,200114,6710000,33020050,6910309,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 12,MashUp GHC 5 (40% Voice/60% Data/50 SMS),"33010055
",6000055,100431,6200000,33020050,6910310,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 13,MashUp GHC 5 (40% Voice/60% Data/50 SMS),"33010055
",6280055,100048,6280000,33020050,6910310,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 14,MashUp GHC 5 (40% Voice/60% Data/50 SMS),"33010055
",6450055,100434,6450000,33020050,6910310,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 15,Mashup Social Offer,32110120,6610122,200114,6710000,33020050,6910310,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 16,MashUp GHC 5 (30% Voice/70% Data/50 SMS),"33010056

",6000056,100431,6200000,33020050,6910311,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 17,MashUp GHC 5 (30% Voice/70% Data/50 SMS),"33010056

",6280056,100048,6280000,33020050,6910311,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 18,MashUp GHC 5 (30% Voice/70% Data/50 SMS),"33010056

",6450056,100434,6450000,33020050,6910311,200083,6910300,NA,NA,NA,NA
MTN Pulse GHC 19,Mashup Social Offer,32110120,6610123,200114,6710000,33020050,6910311,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (50% Voice/50% Data/50 SMS),"33020024
",6000024,100431,6200000,33020050,6910312,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (50% Voice/50% Data/50 SMS),"33020024
",6280024,100048,6280000,33020050,6910312,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (50% Voice/50% Data/50 SMS),"33020024
",6450024,100434,6450000,33020050,6910312,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Social Offer,32110120,6610124,200114,6710000,,6910312,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (100% Data),"33020027
",6450027,100434,6450000,33020050,6910313,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (100% Data),"33020027
",6280027,100048,6280000,33020050,6910313,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Social Offer,32110120,6610125,200114,6710000,33020050,6910313,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (40% Voice/60% Data/50 SMS),"33020025
",6000025,100431,6200000,33020050,6910314,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (40% Voice/60% Data/50 SMS),"33020025
",6280025,100048,6280000,33020050,6910314,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (40% Voice/60% Data/50 SMS),"33020025
",6450025,100434,6450000,33020050,6910314,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Social Offer,32110120,6610126,200114,6710000,33020050,6910314,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (30% Voice/70% Data/50 SMS),"33020026
",6000026,100431,6200000,33020050,6910315,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (30% Voice/70% Data/50 SMS),"33020026
",6280026,100048,6280000,33020050,6910315,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Flexi (GHC 5 – 9.99) (30% Voice/70% Data/50 SMS),"33020026
",6450026,100434,6450000,33020050,6910315,200083,6910300,NA,NA,NA,NA
MTN Pulse Flexi (GHC 5 – 9.99),Mashup Social Offer,32110120,6610127,200114,6710000,33020050,6910315,200083,6910300,NA,NA,NA,NA
